tweets,Sentiment_type
"The Rivers State GOC, commander of 6th division who commanded the sodiers that carried out the killing in Obigbo during #EndSARS protest is dead. Lesson, stay away from evil and don't waste innocent blood because it has a heavy consequences #BiafraExit #BREAKUPNIGERIA https://t.co/Ud2vqq5ZPt",Negative
The government knows Boko Haram and Boko Haram knows the government. @MBuhari @NGRPresident work hand in hand. Time for a revolution is Now. #EndSARS #Revolutionnow https://t.co/E46VjyBa6H,Neutral
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia dlvr.it/RtdbCC https://t.co/Biibcj29Jr,Neutral
"Nothing surprises me anymore in Nigeria,  I'm just like what the extent of the crisis!🤕😕 #endsars",Neutral
"@Belshagy The government complicity in the now exposed agenda to emasculate the indegeneous tribes in Nigeria by the Fulanis is so blatant. Even with their best intellectuals in tow it can't be concealed anymore. #EndSARS, #Pointofnoreturn, #WeMove",Positive
@PreshMira @dawisu me reading through my #EndSARS  time tweet 😭😭 omoo x100,Neutral
"But come o. Why is @dawisu with DSS. I mean how is he a threat to National Security? 

#FreeDadiyata #FreeDawisu #LekkiMassacre #EndSARS",Negative
Those Twitter have freemood kwa🙄🤷🏼‍♂️ cuz I cannot be subbing Everytime oo..#twitterng #EndSARS #EndBadGovernanceInNigeria,Neutral
U No Holy Pass by 2Baba #EndSARS open.spotify.com/track/3v0FEcW2…,Neutral
U kill citizens of #lagos u still get mind to call us dear lagosians way u fit send @HQNigerianArmy to kill #endsars twitter.com/jidesanwoolu/s…,Positive
"Lekki Tollgate: Youth Rep, Rinu Pulls Out Of #EndSARS Panel misspetitenaijablog.com/2021/02/13/lek…",Neutral
"@todayng The Southern leadership should lead on next steps 🤣😸. That sleepy 🥱 @Buhari has failed #Nigeria is no intelligence. #Pointofnoreturn, #WeMove, #EndSARS",Negative
"The loss of credibility and integrity by Nigeria’s corrupt and politically compromised intellectual/literary community is a failure of leadership. Now, more than ever Nigerians need voices who walk the talk. That is why #EndSARS gives me hope in a new generation of real leaders. https://t.co/T5PyX4wM6r",Positive
"Nigeria needs another civil war
Because we can't be shouting #Revolutionnow and nothing has changed since 2019
If #EndSARS doesn't workout
If #BuhariMustGo doesn't workout
If #BiafraReferendum also failed
All we need to change this nation is to shed the blood of our elites.",Negative
Police recover firearm stolen during #EndSARS protest in Anambra nigerianewspapersonline.net/news/police-re…  #Nigeria #NigeriaNews https://t.co/oZRyHaJ6Rs,Neutral
Police recover firearm allegedly stolen during #EndSARS protest in Anambra: The Police Command in Anambra says it has recovered one pump action rifle allegedly stolen from 3-3 Police Station during the #EndSARS protests in the state. The command’s Public… dlvr.it/RtdYK6 https://t.co/a3IyvjTJCD,Negative
"@GazetteNGR All these bullcrap is to divert attention and deceive Southern Nigeria. Currently food is being diverted away from South. The leadership of the 12 core Northern states are all in it together. The South it's over! #WeMove, #Pointofnoreturn, #EndSARS",Neutral
"@channelstv Way b4 #EndSARS protest, but you are welcome to join the club of lost faith.",Positive
"UPDATE FROM RIVERS STATE

The Rivers State GOC, commander of the 6th Division who commanded the soldiers that carried out Obigbo massacre during and after the Peaceful #EndSARS protest by Wike is dead.

Lesson - Stay away from evil; especially wasting the blood of the innocent! https://t.co/xG8h3LC3Cn",Negative
@TundeTammy_Disu @Oladiamond11 @DanielRegha @officialnairam1 Who go come on you back like this if we don start #EndSARS protest?,Neutral
"As we fight the good fight, let us do well to remember the labours of our heroes past; none of it will be in vain. Voting is still on for the Rock &amp; Roll Hall of Fame induction and you can vote for Fela here: vote.rockhall.com

#EndSARS #EndBadGovernanceInNigeria",Positive
"Another brilliant video by @SoundFieldPBS. Fela's influence is huge and cuts across many streets. I find it sad that we are still facing the things he fought in his day but we won't relent until we take back our country. #EndSARS #EndBadGovernance

youtube.com/watch?v=ryTTHm…",Positive
FEM by DaVido #EndSARS open.spotify.com/track/71EKIFqU…,Neutral
Police recover firearm stolen during #EndSARS protest in Anambra dlvr.it/RtdXtw,Neutral
@edosartistry @UncleMohamz @Moefire_ @_AsiwajuLerry @Alex_Houseof308 @shank_comics @Dehkunle @harrisonJNIOR @eniturn @_igwilo We are blessed in this country sha. But govt na the devil wey we get. Nigerians #EndSARS get your PVC oh,Neutral
"@chamberlainusoh @ogundamisi @sunrisedailynow The only thing I want to know is the name of the COVID 19 patient and picture , that’s all #EndSARS",Neutral
"#EndSARS 
#occupylekkitollgate 
#OccupyNigeria 
#mop
#Revolutionnow 
What are we all waiting for? It is come out once and for all, let's show the world the suffering we are suffer oh",Neutral
"The Rivers State GOC, commander of the 6th Division who commanded the soldiers that carried out Obigbo massacre during and after the Peaceful #EndSARS protest by Wike is dead.

Lesson - Stay away from evil, especially wasting the blood of the innocent, it has severe consequences. https://t.co/4MMOcL9K34",Negative
"00:00 Hrs

#Endsars",Neutral
#EndSARS: Lagos panel summons IGP afrosocialmedia.com/?p=12004,Neutral
Dear @tundefashola the inspector of the #EndSARS team. You shut down a bridge for 6months yet we still have potholes and craters on the bridge. Any reason is why we could not just resurface the bridge? @PremiumTimesng @GazetteNGR @channelstv,Negative
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia dlvr.it/RtdWVc https://t.co/yTntbeV1ta,Neutral
@jidesanwoolu We still don't trust you as our governor after the killings at the tollgate. #EndSARS,Neutral
"@DONJAZZY @rudeboypsquare  @PeterPsquare @ayrastarr  please check out this Creativity.
#SHUTDOWN #silhouettechallenge #Endsars #ReformThePolice twitter.com/ranobeat/statu…",Neutral
"This Picture speaks VOLUME , but guys should Kimoprah be criticized?

Chioma Davido Admission #BBNaija #bobrisky #CarpeDiem #DavidoXTinyDesk #AskOle #2weeksinLagosmovie #EndSARS https://t.co/2rjTIhqJk3",Neutral
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia blog.omokoshaban.com/2021/02/27/end…,Neutral
"If I cross your mind, say a prayer for me 🙏🏽
#EndSARS #Mmemberville",Neutral
"UPDATE FROM RIVERS STATE

The Rivers State GOC, commander of the 6th Division who commanded the soldiers that carried out Obigbo massacre during and after the Peaceful #EndSARS protest by Wike is dead.

Lesson Stay away from evil; especially wasting the blood of the innocent. https://t.co/gnqf0t5hu9",Negative
When I first hear the title Thunder fire you I sincerely thought the song would be about the #EndSARS thing or Bad government.,Positive
"Question: When that which is abnormal becomes normal, what is it called?
Answer: Nigeria.
#Nigeria #EndBadGovernanceInNigeria #Terrorism #Kidnapping #Buhari #EndSARS #EndPoliceBrutalityinNigeria #KagaraStudents",Positive
"Buying Or RETWEETING Would Be Really Appreciated 🙏🏿
Frame 1: #22,000   Frame 2: #17,000            Frame 3: #8,000     Frame 4: #8,000
Call: 08110661136 or WhatsApp:wa.me/message/H3COGO…    #davido #EndSARS #lekki #lasgidi https://t.co/GEWaQsb1Bh",Positive
"If God is for us, who can be against us (Romans 8:31)

And my friend asked ""how about the government, are they not against us?""

I just don't know what answers to give to my friend

#EndBadGovernanceInNigeria #EndSARS",Neutral
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia - 234radio.com/endsars-lagos-… https://t.co/Oefkzb1rTj,Neutral
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia - 234radio.com/endsars-lagos-… https://t.co/bz0EZMNvoL,Neutral
#EndSARS twitter.com/mrdanknows/sta…,Neutral
"#Endsars protest for #BadGovernance no reach here. Bovi, Rugged man, Etc  no see this one to protest. Issorite, kontinu. twitter.com/ipannigeria/st…",Neutral
Buhari was more useful to Nigeria as the opposition leader in 2015 than as the president today. The man should have remained as the opposition leader. Nigeria could have been enjoying the benefit of his 'radical' opposition politics today. 😀#EndBadGovernanceInNigeria #EndSARS twitter.com/MBuhari/status…,Positive
#nottooyoungtorule #EndSARS anywhere you sight @dawisu in the world 🌏🌍 protect him. he's one of us.,Neutral
Restructuring #EndSARS #EndPoliceBrutality,Neutral
"Police recover firearm allegedly stolen during #EndSARS protest in Anambra
eletiofe.com/police-recover…",Negative
#EndSARS #EndBadGovernanceInNigeria,Neutral
"To all the males and females out there, if your dad is a member of @HQNigerianArmy @PoliceNG @NigeriaAirForce @DSS please avoid me cause I don't want to associate, and have anything to do with you. Because they (your dad's) are bastards, period. #EndSars #EndNigeriaToSaveLifesNow",Neutral
"Hence there's no work in Nigeria, but our govt is paying bandits and terrorists well, I think I'll need to start recruiting soon. I need my cut from that N900M too
#BubuResign
#BuhariMustGo 
#EndSARS",Neutral
"Good news. South should keep looking. 
#endsars twitter.com/DeleMomodu/sta…",Positive
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia nigeriapenng.com/endsars-lagos-…,Neutral
"Please retweet...nah beg i dey beg
Recorded with my phone
@DONJAZZY @mrmacaronii @mbahdey4u @BlaqBonez @BlaqBonez @instablog9ja @davido @davvydmoore @shank_comics @twyse_116 @TundeEddnut @UnclePamilerin #davido #EndSARS #EndBadGovernanceInNigeria 
Full video in my tl... https://t.co/pZXKlUxedX",Positive
"@MsTtemi @channelstv But remember northerners are still Nigerians. Did they support the #ENDSARS? No, do they want restructuring? No.",Neutral
#EndSARS,Neutral
@SportsCenter #EndSARS,Neutral
@Laxix6 Because he was using him for clout for his music instead of lending his voice to the #EndSARS movement ode,Neutral
#End1999Constitution #EndSARS,Neutral
"Funny as Nigeria, I am terrified. #EndSARS #EndBadGovernanceinNIGERIA twitter.com/ubongabasi/sta…",Positive
"@SavvyEma @PulseNigeria247 You're right , I remember going through hell during #EndSARS 💔😢",Positive
#EndSARS twitter.com/Al_ameen_Yabo/…,Neutral
"@AishaYesufu I do hear that voice everyday- monday to Friday on kiss Fm online steaming..:""we are citizens we are not slaves "" and @ the background you will hear #EndSARS now..!! Nice one ma..keep the voice loud one day it will be heard.",Positive
@DeleMomodu #ENDSARS    we like it like that  but note very soon they will start their problem there too very soon   They should also remember to come and take all their bambiallah from south ooo,Positive
"Everyone under this thread saying 500k is small for human life.
Did they pay for the human life or compensation to the family??
Them paying or not doesn’t change anything nor bring back d dead.

How much was paid for all the life lost at the #EndSARS protests?? twitter.com/Naija_PR/statu…",Negative
Fim da Sars - #EndSars [EP.32] youtu.be/_VgLz0NXVvM via @YouTube,Neutral
"Sad but true...

#restructurenigerianow 
#revolutionnow 
#tundeednut 
#SarsMustEnd 
#EndSARS 
#freesowore
#covid_19 
#nigeria https://t.co/QHpjY8aRsj",Negative
Amen by Falz #EndSARS open.spotify.com/track/4auxOzn8…,Neutral
"@AyRevolutionary #ENDSARS      Living in a society where the live of cow  is more valuable and important than the live of those that voted for buhari as a president  worth a shame ,",Positive
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia latestupdate.com.ng/endsars-lagos-…,Neutral
#EndSARS: Lagos Panel To Hear Testimonies Against Army In Absentia channelstv.com/2021/02/27/end… https://t.co/kwtrTh8tef,Neutral
"Is @dawisu back home?
#FreeDawisu 
#EndSARS",Neutral
#EndSARS: Lekki toll gate ‘shooting victim’ demands ₦206.5m compensation news360.info/2021/02/27/end…,Negative
#EndSARS twitter.com/uyi_clement/st…,Neutral
Police recover firearm allegedly stolen during #EndSARS protest in Anambra orientdailynews.com/police-recover…,Negative
@PoliceNG recover firearm allegedly stolen during #EndSARS protest in Anambra,Negative
"I was listening to @throughlineNPR's latest episode on Bayard Rustin. He was a gay civil rights leader and experienced a lot of challenges due to his sexual identity.

It reminded me of #EndSARS and the debate about sexuality that came up again and again.
open.spotify.com/episode/68weID…",Positive
"Hey guys, We’ve been able to raise 10k for the Covid test. Please come through our court hearing is on Tuesday
✨#EndSars",Positive
@efeCamilus @Leckarz1 @FS_Yusuf_ There are a lot of cases where he has not spoken up but atleast he was very vocal during the #endsars protest. He was suspended for it. It doesn't negate the posters opinion though.,Positive
"* Who is a #Bandit?
* What is #Banditry?
* How come a Bandit, is not a Criminal?
* Why is Banditry, not Criminality?
- #SheikhGumi 

#EndSars
#EndBadGovernanceInNigeria 
#Nigeria",Positive
#ICYMI: Police recover firearm allegedly stolen during #EndSARS protest in Anambra | The Guardian Nigeria News - Nigeria and World News guardian.ng/news/police-re…,Negative
"@boluxxxx It's a circus state. The #Sultan is a BOT of #Miyettiallah and @Buhari is a Patron. The #Sultan said that #Bandit, #FulaniHerdsmen, #BokoHaram are the same thing. These groups are perpetrating criminality and terrorism and no arrests or prosecution? #EndSARS",Neutral
Buhari is WACK!!! #EndSARS,Neutral
"Bcos dawisu spoke the truth... He is arrested by DSS during buhari administration ... But Buhari was never arrested in 2015 by DSS during president Jonathan administrator 

No one remains in power forever 

#FreeDawisu 
#EndSARS 
#KagaraStudents 
Niger 
Nigeria
#SHUTDOWN https://t.co/id8NpPVicf",Neutral
"This yeye boy "" On Gaaaaad"" was a looter during #Endsars period",Neutral
"Nigeria 🇳🇬 my country 🤦‍♂️

#lagosfather #bobrisky #BBNaija #Lekkitollgate #EndSARS #mrmacaroni #bovi #NairaMarley #Zlatan #CarpeDiem #Soundcity #End1999Constitution #EndBadGoveranceInNigeria #endthelockdown #davido #dangote #otedola #donjazzy https://t.co/6BWdac9amf",Neutral
@channelstv Wasn't that the whole idea behind the #EndSARS protests that the govt hijacked with their thugs?,Negative
@FavourAnyaogu1 @WKekang @SavvyRinu Govt was unable to control em during #EndSARS naw x it ws  clear you are on your own in this country,Positive
"Police recovered pump action rifle allegedly stolen from 3-3 Police Station during the #EndSARS protests

 matrixliveng.com/police-recover… 

#CHEMUN Juventus #davido",Neutral
#EndSARS twitter.com/burnaboy/statu…,Neutral
@nigeriantribune How can he insult the only tyrant sorry Mr president.They will release they just to show @sowore and #EndSARS protesters that #BuhariMustGo is not the kind of president you can talk to anyhow.9ja my kontiri.God bless naijiria.,Positive
"@MBuhari pls answer their demands before they kill Pastor Bulus on Wednesday
.
.
.
@DailyPostNGR #davido #SHUTDOWN #NBCBansThunderfireyou #FreeDawisuNow #GbeduAwards #SS1CashMoney @BBCWorld @SavvyRinu #SS1CashMoney #End1999Constitution #CuppyFoundation #EndSARS @AJEnglish @davido twitter.com/anthonymike01/…",Neutral
"@Ayodele38587806 @SupineSmokey @TaiwoFajemidag1 @WWEApollo See, it will never be well with you for this rubbish you just spew. Imagine you saying Soldiers didn't shoot at peaceful protesters at Lekki Toll-gate, something some of us witnessed live. I hope you suffer the pain we all suffered on that day. #EndSARS",Positive
"Aunty @AishaYesufu it will shock this government what it's callousness will cost. 
#EndSARS
#EndBadGoveranceInNigeria 
#End1999Constitution twitter.com/AishaYesufu/st…",Neutral
@YemieFASH All we ask for during #EndSARS,Neutral
"The best thing to ever happen to Nigeria in the last six years is Buhari and APC Govt.

Nigerians are quite fortunate to have them.
Imagine the level of freedom we are enjoying with temerity.
You can protest protest peacefully like #EndSARS and go unscathed. 
Isn't wonderful?🙄🙄",Positive
"#LEKKIMASSACRE happened 

#OYIGBOMASSACRE happened 

#Policebrutality is still going on in Nigeria 

Perpetrators should be arrested and prosecuted 

#SayNoToSocialMediaBill 

#ENDSARS",Neutral
"@ayemojubar @UdoMbakara1 

#EndSARS",Neutral
"Dear Nigeria.

You must change for better. Whether we like it or not, you must change because change is inevitable.
I don't know if it's coming slow or fast but my wish  Nigeria become a better state.

#dawisu 
#EndSARS",Positive
@gboyegaakosile A barbaric system is being used in dis present age ...... no calmness in approach ..... no sense ..... if u drag with someone that u can track then ur offense is higher .... #EndSARS #EndBadGoveranceInNigeria .... #PoliceBrutality,Positive
#EndSARS: Lekki toll gate ‘shooting victim’ demands ₦206.5m compensation thenationonlineng.net/endsars-lekki-…,Negative
@ToniD00010173 @USATODAY how do u feel abt #EndSARS,Neutral
"@Tonyeallison4u Now dey would pay ransoms in billions, 2023 business just started #EndSARS",Neutral
"Police recover firearm allegedly stolen during #EndSARS protest in Anambra
pulse.ng/news/local/pol… https://t.co/NJqLdmA4CB",Negative
Thank God for the internet and social media @dawisu would have disappeared without a trace. #EndSars #EndCorruption #ReformNigeria #EndSwat #EndOpperssion #Vote2023 @NGRPresident @GovUmarGanduje @KanostateNg @NigeriaGov FAILURES twitter.com/thecableng/sta…,Positive
"@tunjitalabs @d_reamz @Abapikin #EndSARS 
#badgoverment
#EndPoliceBrutalityinNigeria 
Oh yeah right",Positive
#EndSARS twitter.com/OluwaseunOgede…,Neutral
"@MobilePunch WHERE ARE THESE MFs to correct this?
Only in this country have i seen countless products with a fixed price on it, but selling at 25-40% increase, &amp;everyone acts like it's normal! Corruption everywhere!!
Later these traders wld say #EndSARS #SMH
HOW DID WE GET HERE??",Positive
Soo the narrative went like #EndSARS #EndSARSBrutality #End1999Constitution defund the po by buying smaller guns while ak”s can move into the deserted areas... what else,Neutral
"I can literally say this is the only award show I enjoyed so far this year. To all artist that have made the night, God bless you all.Thank you #GbeduAwards 
I'm sure this is for our #EndSARS heros.
As for you Laycon...no evil plan against you shall prosper..God bless you🙏",Positive
#EndSARS https://t.co/XLa1M8cgM9,Neutral
Video of ‘On Gaaaaad’ looting shops and supermarket during the #EndSars period surfaces online https://t.co/wkRZzunbMs,Neutral
"4AM by Ajebutter22, Dremo #EndSARS open.spotify.com/track/4J6zeVoV…",Neutral
"@JoeWSJ @emmanuelojes #EndSARS @MBuhari @elrufai @AminaJMohammed   The Nigerian president is a buffoon.  A total incompetent.  You should do a report on Amina Mohammed resent visit to northern Nigeria.  She had the opportunity to discuss solutions with the Nigerians, instead she went on a train ride",Negative
Police Recover Firearm Carted Away During #EndSARS Protest In Anambra citynewsng.com/police-recover…,Neutral
"I see foods price going up
 from Monday scarcity of foods 
Everywhere 
Things like food stuff are gonna be expensive 
Nigerians stop destroying our propertys.let focus on the bad eggs 
Stop destroying what' we all suffered for 
Let fight this fight together 
#endsars",Negative
"@CHINOMSOCOLLINS @IzzyJays @FestusGreen @__black_currant In saner climes traffic offense is not something dat is not bailable
Its as a result of the aftermath of the #EndSARS protest these groups of lawless law enforcement  decide to be wicked. You can never be too careful as humans .Naija was not structured 4 anything good.
Follow me",Positive
"@DailyPostNGR Fool... Is better you died and save the life of innocent Nigerian boys and girls that Boko Haram and bandits, Even killer headers had killed under your watch.. The day you became a Nigerian army that's what you sign for.. #EndSARS",Positive
"@OdudwaRepublic @UChinenyeze1 A good ground to go our separate ways peaceful.... #EndForcedMarriageByLugard #End1999Constitution #oduduwanation #YorubaNation

#BuhariMustGo #BuhariResign #EndSARS #RevolutionNow",Positive
@stephenoluwat16 @ExtraOma @adannanwaokolo @Kemaaayyyy Be it as it may...na she be the victim...make she handle am however she wants! She has the freedom!...we dey shout #Endsars but we nor want allow people dey free to do whatever they want with their lives.... o wrong nau,Positive
"I felt the pain in my heart #300zamfarastudent
Kidnapped yet nigerians cant protest for their 
Right
What are the values of government that can't secured it citizens 
#buharimustresign
#endsars
#endnigeria 
#freebiafra",Positive
"@channelstv It's interesting how the citizens of military ruled Myanmar shutdown the country in protest against the military, but in 🇳🇬  that we practice democracy, citizens re afraid to shutdown Nigeria in peaceful protest. Nigeria must wake up now #EndSARS #SHUTDOWN🇳🇬 #OccupyNigeriaProtest",Negative
"SMH astonished 

#shutdown
#EndSARS
Nigeria
 https://t.co/wAn7RPQxvZ",Neutral
"What could he be waiting for ... An invitation... To resign perhaps
#EndSARS #EndBadGoveranceInNigeria #End1999Constitution  #BuhariResignNow #BuhariMustGo https://t.co/pvLrZko1Pa",Neutral
"@todayng It's executed up to #50million cheaper in #Niger state. @GovNiger, #EndSARS",Neutral
Fueling Stations charging money for buying fuel from their pumps? Abeg when this one start ? Naija haha? @Gidi_Traffic  #EndSARS,Positive
@MBuhari is dead. His circle know that the man is dead but everyone is quiet. The time for a Revolution is Now. #EndSARS #revolutionNow https://t.co/Q8YonFfcgQ,Negative
"@antonioguterres #endsars
@UN.   @AminaJMohammed @elrufai 
Amina recently visited this area of Nigeria to see a data science lab and had the opportunity to discuss what you just wrote, instead she took a train ride.  Why are you acting appalled?",Negative
Police Recover Firearm Carted Away During #EndSARS Protest In Anambra citynewsng.com/police-recover…,Neutral
"@Real_AdaKing @Abapikin @PoliceNG @HumAngle_ @SERAPNigeria @amnestyusa @UN @UNHumanRights @Amaka_Ekwo @Carolynkimbrly I'm surprised I'm hearing this for the first time. Why did the people in the community not raise alarm on their missing women.
I am interested to know who is handling this case.
This is a serious matter that should make headline, &amp; have us call for justice like that of #EndSARS",Positive
Hunger Cries by Show Dem Camp #EndSARS open.spotify.com/track/4PB5lAoA…,Neutral
"@GazetteNGR Food prices will stabilise as increasingly #terrorist #FulaniHerdsmen are removed from farmlands &amp; Forests and farmers return freely in both Southern Nigeria &amp; MB. #EndSARS, #endterrorism , #EndImpunity",Positive
@Mirrowss @StevecrownT @SaharaReporters @MBuhari Well for starters ; Prayers are everything .. I’m sure you can also recall the impunity the government use(d) to overrun peaceful protests during the #EndSars protests .. Unless we protest collectively.. It’s a waste of time,Positive
@RicHassani #actorslife #2WksInLagosCinemaSchedule #NBCBansThunderfireyou #davido #NastyC #EndSARS https://t.co/Os3MoBrR50,Neutral
@ayemojubar @joshuaerakpower ....#endsars. #endpolicebrutality #endbadgovernance #buharimustgo,Neutral
"Buhari Showing Restraint In Dealing With Bandits, Failed To Do So With #EndSARS Protesters – Odumakin dlvr.it/RtdJDN",Negative
#EndSARS #Anonymous #davido #olamide #LAY,Neutral
#EndSARS: Lekki toll gate ‘shooting victim’ demands ₦206.5m compensation franktalknow.com/endsars-lekki-… via @Frank Talk | Education News Blog https://t.co/Vq5IIOD2Zm,Negative
"#EndSARS: Petitioner accuses police of withholding brother’s corpse after 

matrixliveng.com/endsars-petiti… 

Puig #Davido",Neutral
"@olusogaowoeye @MBuhari #EndSARS  Spending a lot of money on security and not improving performance is the same as failure.
Boko Haram is not deafeated and terrorist attacks have spiked.",Negative
#EndSARS twitter.com/AishaYesufu/st…,Neutral
"The kidnapped staff and students of Government Science College Kagara have finally regained freedom from the armed bandits in Niger State.
#SecureNigeria
#securenigerstate
#EndSARS
lemaplaninternational.org/nigeria-24-kag… https://t.co/bMuuHT4z87",Neutral
Police recover firearm allegedly stolen during #EndSARS protest in Anambra dlvr.it/RtdHpb https://t.co/Ls3rXKIKD3,Negative
"@jidesanwoolu Who ordered the killing of those peaceful protesters at lekki toll gate on the 20th of October 2020 @jidesanwoolu .
Speak up @jidesanwoolu . We will not rest until truth be told @jidesanwoolu 
#EndBadGoveranceInNigeria #EndSARS",Positive
"@channelstv Saved! I hope Prof. W.S leads the way for the National protest, because I'm very sure our peaceful bandits grp led by Gumi (New Hon. Minister of Banditry in 🇳🇬) are planning on a new abduction while the focus is on the done and dusted deals..
#BuhariMustGo #BuhariResign #EndSARS",Positive
"We have now left the era of SARS harrasment....imagine walking on a street trying to find bike this evening and getting harrassed by some cult boys just because i dressed fine and  what i heard at my back was “yahoo ni yahoo ni” lol i 4 chop beating dis nyt 
#EndSARS #EndSwat",Positive
"@brightluv85 @realFFK Hunger and anger causes motivation.
Just look at #EndSARS",Negative
When buying and driving a car always remember that mad people also drive on the same road with you a diff kind of mad person. Thank you. @Gidi_Traffic #EndSARS,Negative
"How a supposed one month data subscription doesn't last up to one week is not talked about enough. Network providers keep ripping people off for fun, if we organise another #EndSARS protest cos of this issue; they'll call us hoodlums.",Positive
"The bonds we formed during protest.

#EndSARS",Neutral
There was a time I will enter panic mode once I see a Mini bus driving behind me in the streets .... Omo thank God for #endsars movement ..,Negative
"@todayng This is stupid intelligence. How useless can the intelligence that #Boko Haram and #Bandits are the same. The #Sultan is far ahead of this ex DSS whatever cos we knew long time. They're #terrorists and how to stop them is the intelligence needed. #EndSARS,",Negative
"# 58 270221
- @dawisu currently missing, sacked by Ganduje for speaking against the president,
- former CBN deputy governor, Mailafia said Powerful Nigerians Brought In Bandits, Arms For Civil War Should Jonathan Remain In Power, remember #EndSARS?
- #End1999Constitution trends",Positive
"Put your Single, Ep and Album on digital stores to earn money.
Single -10k with promo on stoptfy - 10k =20k
Ep and Album -25k 👆🏿👆🏿👆🏿👆🏿- 10k =35k

Mama G #FreeDawisu #SHUTDOWN #ThunderFireYou #NBCBansThunderfireyou #davido how many #admwsg #RemyGirlNengi God Whens #EndSARS https://t.co/rCs90u18Um",Positive
Police recover firearm allegedly stolen during #EndSARS protest in Anambra afriupdate.com/news/national/…,Negative
"Sad but true...

#restructurenigerianow 
#revolutionnow 
#tundeednut 
#SarsMustEnd 
#EndSARS 
#freesowore
#covid_19 
#nigeria
instagram.com/p/CIGQPUIpQcSh…",Negative
"Sunday Okoto who knocked down a police officer into a carnal from a bridge has been arraigned &amp; remanded in prison without options of fine nor bail (in less than 24 hours).

But the officers that killed peaceful, unarmed #endsars #Lekkitollgate protesters ar yet to be identified https://t.co/zRFG4jyojj",Positive
"Imaging what this lady will tell her children and grandchildren about the #EndSARS history, when they ask her about it. twitter.com/Postsubman/sta…",Neutral
"How will SSS arrest Someone with his opinion, is Nigeria government turning against his people by indirectly helping the unfinished jobs of Bandit and Terrorists ? 
@StateDept 
@CIA 
@CACCOT1 
@KanostateNg 
@MrOdanz 
@ChidiOdinkalu 
@ICCT_TheHague 
@YeleSowore 
@UN 
#EndSARS twitter.com/dawisu/status/…",Negative
Police Recover Firearm Allegedly Stolen During #EndSARS Protest in Anambra herald.ng/police-recover…,Negative
Police recover firearm allegedly stolen during #EndSARS protest in Anambra | The Guardian Nigeria News - Nigeria and World News guardian.ng/news/police-re…,Negative
"Police recover firearm allegedly stolen during #EndSARS protest in Anambra

nigeriacam.blogspot.com/2021/02/police…",Negative
